Clave,Regimen
605,Sueldos y Salarios e Ingresos Asimilados a Salarios
606,Arrendamiento
608,Demás ingresos
611,Ingresos por Dividendos (socios y accionistas)
612,Personas Físicas con Actividades Empresariales y Profesionales
614,Ingresos por intereses
615,Régimen de los ingresos por obtención de premios
616,Sin obligaciones fiscales
621,Incorporación Fiscal
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras"
626,Régimen Simplificado de Confianza (RESICO)
629,De los Regímenes Fiscales Preferentes y de las Empresas Multinacionales
630,Enajenación de acciones en bolsa de valores
601,General de Ley Personas Morales
603,Personas Morales con Fines no Lucrativos
607,Régimen de Enajenación o Adquisición de Bienes
609,Consolidación
620,Sociedades Cooperativas de Producción que optan por Diferir sus Ingresos
623,Opcional para Grupos de Sociedades
624,Coordinados
628,Hidrocarburos
